religion|종교
border|국경
spread|퍼지다
escape|탈출하다
common|흔한, 공통의
remain|남다
punish|처벌하다
fee|요금
familiar|익숙한
volunteer|자원봉사자
square|정사각형, 광장
steal|훔치다
attack|공격하다
represent|대표하다
arrow|화살
shoot|쏘다
matter|문제, 중요하다
shake|흔들다
ruin|망치다
result|결과
bless|축복하다
exist|존재하다
medicine|약
pack|싸다, 포장하다
repeat|반복하다
perform|수행하다, 공연하다
popular|인기 있는
regular|규칙적인
seldom|드물게
president|대통령, 회장
international|국제적인
overcome|극복하다
destroy|파괴하다
reply|대답하다
treasure|보물
favor|호의
grade|성적, 학년
trust|신뢰하다
term|용어, 기간
spell|철자를 쓰다
regret|후회하다
suggest|제안하다
recognize|알아차리다
balance|균형
notice|알아차리다
realize|깨닫다
admire|존경하다
needle|바늘
tray|쟁반
role|역할
pride|자부심
tie|묶다
repair|수리하다
soap|비누
normal|정상적인
smooth|부드러운
trade|무역
benefit|이익
crop|농작물
gather|모으다
stadium|경기장
incredible|믿을 수 없는
coach|코치
strike|치다, 파업하다
desire|욕망
effective|효과적인
able|할 수 있는
pain|고통
spend|소비하다
belong|속하다
usual|평소의
neighbor|이웃
practice|연습하다
false|거짓의
perfect|완벽한
scene|장면
reach|도달하다
judge|판단하다, 판사
conversation|대화
shoulder|어깨
mistake|실수
enemy|적
cheer|환호하다
continue|계속하다
garbage|쓰레기
possible|가능한
foreign|외국의
period|기간
except|제외하고
laugh|웃다
instead|대신에
major|주요한, 전공
round|둥근
aim|목표
nowadays|요즘에는
secret|비밀
disease|질병
miracle|기적
protein|단백질
patient|환자, 인내심 있는
prefer|선호하다
avoid|피하다
prevent|예방하다
fault|잘못
sudden|갑작스러운
trouble|문제
aid|도움
portrait|초상화
whole|전체의
individual|개인
influence|영향
master|주인, 숙달하다
advance|전진, 발전
develop|발달하다
nest|둥지
match|성냥, 시합
chest|가슴
demand|요구하다
wealth|부
account|계좌, 설명
serve|제공하다, 봉사하다
grave|무덤, 심각한
explain|설명하다
achieve|성취하다
remove|제거하다
dictionary|사전
receive|받다
smoke|연기, 담배를 피우다
meal|식사
social|사회적인
bark|짖다
grammar|문법
trunk|줄기, 몸통
reason|이유
health|건강
earn|벌다
contain|포함하다
solve|해결하다
necessary|필수적인
